Task,Owner,Status,Due Date,Priority,Linked KR,Pilot,Impact,Confidence,Effort
"Schedule 3 new pilot meetings","Gokul","In Progress",2025-01-20,"High","Design Partner Meetings","","5","4","3"
"Publish enhanced search blog post","Gokul","Not Started",2025-01-25,"High","Enhanced Search Deployment","","4","5","2"
"Complete pilot SOW template","Gokul","Done",2025-01-15,"Medium","Pilot Agreements Signed","","4","5","3"
"Research technical advisors","Gokul","In Progress",2025-01-30,"Medium","Advisory Board Members","","4","3","4"
"Create case study template","Gokul","Not Started",2025-02-01,"Medium","Case Studies Published","","3","4","3"
"Update LinkedIn company page","Gokul","Not Started",2025-01-22,"Low","","","2","5","1"
"Prepare investor pitch deck","Gokul","Not Started",2025-02-15,"High","","","5","3","5"
"Schedule content calendar review","Gokul","Not Started",2025-01-18,"Medium","","","3","5","1"
"Research competitive landscape","Gokul","In Progress",2025-01-28,"High","","","4","4","4"
"Plan Q1 OKR review meeting","Gokul","Not Started",2025-02-01,"Medium","","","3","5","2"
